send_id,campaign_id,user_id,send_date,opened,clicked,replied,unsubscribed
snd_000001,cmp_017,usr_0100,2025-05-11,True,False,False,False
snd_000002,cmp_017,usr_0101,2025-05-11,True,False,False,False
snd_000003,cmp_017,usr_0113,2025-05-11,False,False,False,False
snd_000004,cmp_017,usr_0187,2025-05-11,True,True,False,False
snd_000005,cmp_017,usr_0195,2025-05-11,False,False,False,False
snd_000006,cmp_017,usr_0198,2025-05-11,True,False,False,False
snd_000007,cmp_017,usr_0231,2025-05-11,False,False,False,False
snd_000008,cmp_017,usr_0248,2025-05-11,True,False,False,False
snd_000009,cmp_017,usr_0437,2025-05-11,False,False,False,False
snd_000010,cmp_017,usr_0460,2025-05-11,False,False,False,False
snd_000011,cmp_017,usr_0462,2025-05-11,True,False,False,False
snd_000012,cmp_024,usr_0294,2025-05-17,False,False,False,False
snd_000013,cmp_001,usr_0063,2025-05-31,True,False,False,False
snd_000014,cmp_001,usr_0100,2025-05-31,False,False,False,False
snd_000015,cmp_001,usr_0101,2025-05-31,False,False,False,False
snd_000016,cmp_001,usr_0113,2025-05-31,True,False,False,False
snd_000017,cmp_001,usr_0125,2025-05-31,False,False,False,False
snd_000018,cmp_001,usr_0132,2025-05-31,False,False,False,False
snd_000019,cmp_001,usr_0143,2025-05-31,True,False,False,False
snd_000020,cmp_001,usr_0169,2025-05-31,True,False,False,False
snd_000021,cmp_001,usr_0186,2025-05-31,True,False,False,False
snd_000022,cmp_001,usr_0187,2025-05-31,False,False,False,False
snd_000023,cmp_001,usr_0195,2025-05-31,True,False,False,False
snd_000024,cmp_001,usr_0198,2025-05-31,True,False,False,False
snd_000025,cmp_001,usr_0235,2025-05-31,False,False,False,False
snd_000026,cmp_001,usr_0248,2025-05-31,False,False,False,False
snd_000027,cmp_001,usr_0258,2025-05-31,True,True,False,False
snd_000028,cmp_001,usr_0294,2025-05-31,True,False,False,False
snd_000029,cmp_001,usr_0298,2025-05-31,False,False,False,False
snd_000030,cmp_001,usr_0303,2025-05-31,False,False,False,False
snd_000031,cmp_001,usr_0308,2025-05-31,False,False,False,False
snd_000032,cmp_001,usr_0340,2025-05-31,False,False,False,False
snd_000033,cmp_001,usr_0362,2025-05-31,False,False,False,False
